GeneName,GN_Syn
DHRS3,DHRS3
RNU6ATAC18P,RNU6ATAC18P
MIR6730,MIR6730
AC254633.1,AC254633.1
AADACL4,AADACL4
AC244670.1,AC244670.1
AADACL3,AADACL3
C1orf158,C1orf158
PRAMEF12,PRAMEF12
PRAMEF1,PRAMEF1
LINC01784,LINC01784
PRAMEF11,PRAMEF11
PRAMEF30P,PRAMEF30P
HNRNPCL1,HNRNPCL1
PRAMEF2,PRAMEF2
PRAMEF4,PRAMEF4
PRAMEF10,PRAMEF10
PRAMEF7,PRAMEF7
RNU6-1072P,RNU6-1072P
PRAMEF29P,PRAMEF29P
PRAMEF6,PRAMEF6
PRAMEF28P,PRAMEF28P
PRAMEF27,PRAMEF27
HNRNPCL3,HNRNPCL3
PRAMEF25,PRAMEF25
PRAMEF34P,PRAMEF34P
PRAMEF35P,PRAMEF35P
HNRNPCL2,HNRNPCL2
PRAMEF36P,PRAMEF36P
AC245056.1,AC245056.1
PRAMEF26,PRAMEF26
HNRNPCL4,HNRNPCL4
PRAMEF9,PRAMEF9
PRAMEF13,PRAMEF13
PRAMEF18,PRAMEF18
PRAMEF31P,PRAMEF31P
PRAMEF5,PRAMEF5
PRAMEF32P,PRAMEF32P
RNU6-771P,RNU6-771P
PRAMEF8,PRAMEF8
PRAMEF33,PRAMEF33
PRAMEF15,PRAMEF15
AC243961.1,AC243961.1
PRAMEF14,PRAMEF14
PRAMEF19,PRAMEF19
PRAMEF17,PRAMEF17
PRAMEF20,PRAMEF20
LRRC38,LRRC38
AL354712.1,AL354712.1
BRWD1P1,BRWD1P1
PDPN,PDPN
RNA5SP41,RNA5SP41
AL359771.1,AL359771.1
RF00564,RF00564
PRDM2,PRDM2
KAZN,KAZN
RNU6-1265P,RNU6-1265P
AL357873.1,AL357873.1
KAZN-AS1,KAZN-AS1
TBCAP2,TBCAP2
TMEM51-AS1,TMEM51-AS1
TMEM51,TMEM51
C1orf195,C1orf195
AL035405.1,AL035405.1
AL391094.1,AL391094.1
FHAD1,FHAD1
AL031283.2,AL031283.2
AL031283.3,AL031283.3
AL031283.1,AL031283.1
EFHD2,EFHD2
CTRC,CTRC
CELA2A,CELA2A
CELA2B,CELA2B
CASP9,CASP9
DNAJC16,DNAJC16
SCARNA21B,SCARNA21B
AL121992.3,AL121992.3
AGMAT,AGMAT
AL121992.1,AL121992.1
CHCHD2P6,CHCHD2P6
RNU7-179P,RNU7-179P
CD24P1,CD24P1
DDI2,DDI2
RSC1A1,RSC1A1
AL121992.2,AL121992.2
PLEKHM2,PLEKHM2
AL450998.2,AL450998.2
SLC25A34,SLC25A34
SLC25A34-AS1,SLC25A34-AS1
TMEM82,TMEM82
FBLIM1,FBLIM1
RPL12P14,RPL12P14
UQCRHL,UQCRHL
AL450998.1,AL450998.1
FLJ37453,FLJ37453
SPEN,SPEN
AL034555.1,AL034555.1
ZBTB17,ZBTB17
AL355994.4,AL355994.4
AL355994.1,AL355994.1
AL355994.5,AL355994.5
TBC1D3P6,TBC1D3P6
SRARP,SRARP
AL355994.3,AL355994.3
HSPB7,HSPB7
CLCNKA,CLCNKA
AL355994.2,AL355994.2
CLCNKB,CLCNKB
FAM131C,FAM131C
EPHA2,EPHA2
AL451042.2,AL451042.2
AL451042.1,AL451042.1
ARHGEF19-AS1,ARHGEF19-AS1
ARHGEF19,ARHGEF19
ANO7L1,ANO7L1
CPLANE2,CPLANE2
MT1XP1,MT1XP1
FBXO42,FBXO42
SZRD1,SZRD1
RPL22P3,RPL22P3
SPATA21,SPATA21
NECAP2,NECAP2
LINC01772,LINC01772
CROCCP3,CROCCP3
RNU1-1,RNU1-1
AL137802.2,AL137802.2
AL137802.3,AL137802.3
AL137802.1,AL137802.1
LINC01783,LINC01783
RNU1-6P,RNU1-6P
AL355149.1,AL355149.1
NBPF1,NBPF1
AL137798.1,AL137798.1
CROCCP2,CROCCP2
AL137798.3,AL137798.3
MST1P2,MST1P2
AL137798.2,AL137798.2
RNU1-3,RNU1-3
AL021920.2,AL021920.2
EIF1AXP1,EIF1AXP1
ESPNP,ESPNP
AL021920.1,AL021920.1
AL021920.3,AL021920.3
CROCC,CROCC
CROCCP4,CROCCP4
RNU1-4,RNU1-4
MST1L,MST1L
BX284668.1,BX284668.1
BX284668.3,BX284668.3
MIR3675,MIR3675
BX284668.2,BX284668.2
RNU1-5P,RNU1-5P
BX284668.5,BX284668.5
BX284668.4,BX284668.4
RNU1-2,RNU1-2
BX284668.6,BX284668.6
MFAP2,MFAP2
AL049569.1,AL049569.1
ATP13A2,ATP13A2
SDHB,SDHB
PADI2,PADI2
AL590644.1,AL590644.1
AL590644.3,AL590644.3
PADI1,PADI1
PADI3,PADI3
MIR3972,MIR3972
PADI4,PADI4
PADI6,PADI6
AC004824.1,AC004824.1
RCC2,RCC2
ARHGEF10L,ARHGEF10L
AL136529.1,AL136529.1
ACTL8,ACTL8
AL357509.1,AL357509.1
LINC01654,LINC01654
IGSF21,IGSF21
AL365209.1,AL365209.1
IGSF21-AS1,IGSF21-AS1
AL591896.1,AL591896.1
KLHDC7A,KLHDC7A
DYNLL1P3,DYNLL1P3
AL031737.1,AL031737.1
PAX7,PAX7
TAS1R2,TAS1R2
AL080251.1,AL080251.1
ALDH4A1,ALDH4A1
MIR4695,MIR4695
MIR1290,MIR1290
IFFO2,IFFO2
AL137127.1,AL137127.1
UBR4,UBR4
AL035413.1,AL035413.1
EMC1,EMC1
MRTO4,MRTO4
AKR7L,AKR7L
AKR7A3,AKR7A3
AL035413.2,AL035413.2
AKR7A2,AKR7A2
RNU6-1099P,RNU6-1099P
PQLC2,PQLC2
CAPZB,CAPZB
RN7SL277P,RN7SL277P
MINOS1,MINOS1
RNU4-28P,RNU4-28P
AL031727.2,AL031727.2
NBL1,NBL1
MINOS1-NBL1,MINOS1-NBL1
AL031727.1,AL031727.1
HTR6,HTR6
TMCO4,TMCO4
RNF186,RNF186
AL391883.1,AL391883.1
OTUD3,OTUD3
PLA2G2E,PLA2G2E
RN7SL304P,RN7SL304P
PLA2G2A,PLA2G2A
PLA2G5,PLA2G5
PLA2G2D,PLA2G2D
PLA2G2F,PLA2G2F
Z98257.1,Z98257.1
PLA2G2C,PLA2G2C
UBXN10-AS1,UBXN10-AS1
UBXN10,UBXN10
LINC01757,LINC01757
Z98257.2,Z98257.2
VWA5B1,VWA5B1
AL020998.1,AL020998.1
LINC01141,LINC01141
AL139254.1,AL139254.1
AL139254.2,AL139254.2
AL139254.3,AL139254.3
CAMK2N1,CAMK2N1
MUL1,MUL1
RPS4XP4,RPS4XP4
FAM43B,FAM43B
CDA,CDA
PINK1,PINK1
MIR6084,MIR6084
PINK1-AS,PINK1-AS
DDOST,DDOST
KIF17,KIF17
AL663074.2,AL663074.2
SH2D5,SH2D5
AL663074.1,AL663074.1
HP1BP3,HP1BP3
EIF4G3,EIF4G3
RNU7-200P,RNU7-200P
MIR1256,MIR1256
RPS15AP6,RPS15AP6
AL627311.1,AL627311.1
HSPE1P27,HSPE1P27
ECE1,ECE1
AL031005.1,AL031005.1
AL031728.1,AL031728.1
PPP1R11P1,PPP1R11P1
AL592309.1,AL592309.1
AL592309.2,AL592309.2
NBPF2P,NBPF2P
HS6ST1P1,HS6ST1P1
CROCCP5,CROCCP5
NBPF3,NBPF3
PFN1P10,PFN1P10
ALPL,ALPL
LINC02596,LINC02596
RAP1GAP,RAP1GAP
USP48,USP48
AL590103.1,AL590103.1
LDLRAD2,LDLRAD2
HSPG2,HSPG2
AL590556.1,AL590556.1
AL590556.2,AL590556.2
CELA3B,CELA3B
AL590556.3,AL590556.3
RN7SL386P,RN7SL386P
RNU6-1022P,RNU6-1022P
CELA3A,CELA3A
RN7SL186P,RN7SL186P
RNU6-776P,RNU6-776P
LINC01635,LINC01635
LINC00339,LINC00339
AL031281.2,AL031281.2
AL031281.3,AL031281.3
AL031281.4,AL031281.4
CDC42,CDC42
CDC42-IT1,CDC42-IT1
AL031281.1,AL031281.1
WNT4,WNT4
AL445253.1,AL445253.1
MIR4418,MIR4418
PPIAP34,PPIAP34
AL591122.1,AL591122.1
ZBTB40,ZBTB40
ZBTB40-IT1,ZBTB40-IT1
EPHA8,EPHA8
MIR6127,MIR6127
C1QA,C1QA
C1QC,C1QC
C1QB,C1QB
EPHB2,EPHB2
MIR4684,MIR4684
AL512444.1,AL512444.1
MIR4253,MIR4253
LACTBL1,LACTBL1
TEX46,TEX46
KDM1A,KDM1A
AL031428.1,AL031428.1
MIR3115,MIR3115
MIR4419A,MIR4419A
LUZP1,LUZP1
AL161672.1,AL161672.1
RNU6-514P,RNU6-514P
RNU6-135P,RNU6-135P
HTR1D,HTR1D
AL109936.1,AL109936.1
LINC01355,LINC01355
AL109936.6,AL109936.6
HNRNPR,HNRNPR
ZNF436,ZNF436
ZNF436-AS1,ZNF436-AS1
RF00019,RF00019
AL109936.2,AL109936.2
TCEA3,TCEA3
AL357134.1,AL357134.1
ASAP3,ASAP3
E2F2,E2F2
AL021154.1,AL021154.1
ID3,ID3
AL450043.1,AL450043.1
MDS2,MDS2
AL451000.1,AL451000.1
RPL11,RPL11
ELOA,ELOA
ELOA-AS1,ELOA-AS1
PITHD1,PITHD1
LYPLA2,LYPLA2
GALE,GALE
HMGCL,HMGCL
FUCA1,FUCA1
CNR2,CNR2
BTBD6P1,BTBD6P1
AL590609.3,AL590609.3
MIR378F,MIR378F
AL590609.2,AL590609.2
PNRC2,PNRC2
SRSF10,SRSF10
AL590609.1,AL590609.1
AL591178.1,AL591178.1
MYOM3,MYOM3
AL591178.2,AL591178.2
IL22RA1,IL22RA1
IFNLR1,IFNLR1
AL590683.1,AL590683.1
AL138902.1,AL138902.1
GRHL3,GRHL3
STPG1,STPG1
NIPAL3,NIPAL3
RCAN3,RCAN3
AL445686.2,AL445686.2
NCMAP,NCMAP
AL445686.1,AL445686.1
RF00019,RF00019
SRRM1,SRRM1
AL445648.1,AL445648.1
CLIC4,CLIC4
RNU6-1208P,RNU6-1208P
RUNX3,RUNX3
MIR6731,MIR6731
AL445471.1,AL445471.1
AL445471.2,AL445471.2
MIR4425,MIR4425
AL050344.2,AL050344.2
AL050344.1,AL050344.1
AL121994.1,AL121994.1
AL031432.1,AL031432.1
SYF2,SYF2
AL031432.4,AL031432.4
AL031432.5,AL031432.5
RSRP1,RSRP1
AL031432.3,AL031432.3
AL031432.2,AL031432.2
RHD,RHD
SDHDP6,SDHDP6
AL928711.1,AL928711.1
TMEM50A,TMEM50A
RHCE,RHCE
AL031284.1,AL031284.1
MACO1,MACO1
LDLRAP1,LDLRAP1
AL606491.1,AL606491.1
MAN1C1,MAN1C1
AL031280.1,AL031280.1
SELENON,SELENON
AL020996.2,AL020996.2
AL020996.1,AL020996.1
MTFR1L,MTFR1L
AL020996.3,AL020996.3
AUNIP,AUNIP
AL033528.2,AL033528.2
PAQR7,PAQR7
RF00019,RF00019
STMN1,STMN1
SNRPFP2,SNRPFP2
AL033528.1,AL033528.1
MIR3917,MIR3917
PAFAH2,PAFAH2
RNU6-110P,RNU6-110P
RF00492,RF00492
RF00283,RF00283
EXTL1,EXTL1
SLC30A2,SLC30A2
AL391650.2,AL391650.2
TRIM63,TRIM63
PDIK1L,PDIK1L
FAM110D,FAM110D
C1orf232,C1orf232
AL391650.1,AL391650.1
ZNF593,ZNF593
CNKSR1,CNKSR1
CATSPER4,CATSPER4
AL355877.1,AL355877.1
AL355877.3,AL355877.3
CEP85,CEP85
AL355877.2,AL355877.2
SH3BGRL3,SH3BGRL3
UBXN11,UBXN11
CD52,CD52
CRYBG2,CRYBG2
AL451139.1,AL451139.1
ZNF683,ZNF683
LIN28A,LIN28A
DHDDS,DHDDS
AL513365.1,AL513365.1
AL513365.2,AL513365.2
HMGN2,HMGN2
DPPA2P2,DPPA2P2
RPS6KA1,RPS6KA1
MIR1976,MIR1976
RN7SL679P,RN7SL679P
RF00019,RF00019
RNU7-29P,RNU7-29P
AL627313.1,AL627313.1
RF01210,RF01210
AL627082.1,AL627082.1
AL512408.1,AL512408.1
ARID1A,ARID1A
PIGV,PIGV
RN7SL165P,RN7SL165P
ZDHHC18,ZDHHC18
SFN,SFN
AL034380.1,AL034380.1
GPN2,GPN2
GPATCH3,GPATCH3
NUDC,NUDC
NR0B2,NR0B2
KDF1,KDF1
RPL12P13,RPL12P13
AL356390.1,AL356390.1
OSTCP2,OSTCP2
TRNP1,TRNP1
TENT5B,TENT5B
SLC9A1,SLC9A1
AL590640.2,AL590640.2
CHCHD3P3,CHCHD3P3
NPM1P39,NPM1P39
SNRPEP7,SNRPEP7
AL590640.1,AL590640.1
WDTC1,WDTC1
RF00019,RF00019
FO393419.3,FO393419.3
TMEM222,TMEM222
RNU6-48P,RNU6-48P
ACTG1P20,ACTG1P20
SYTL1,SYTL1
MAP3K6,MAP3K6
FCN3,FCN3
CD164L2,CD164L2
FO393419.1,FO393419.1
GPR3,GPR3
WASF2,WASF2
FO393419.2,FO393419.2
BX293535.1,BX293535.1
AHDC1,AHDC1
FGR,FGR
AL031729.1,AL031729.1
LINC02574,LINC02574
IFI6,IFI6
AL445490.1,AL445490.1
RNU6-949P,RNU6-949P
CHMP1AP1,CHMP1AP1
RNU6-424P,RNU6-424P
FAM76A,FAM76A
AL020997.1,AL020997.1
RPEP3,RPEP3
STX12,STX12
AL020997.2,AL020997.2
AL020997.3,AL020997.3
RNU6-1245P,RNU6-1245P
PPP1R8,PPP1R8
SCARNA1,SCARNA1
THEMIS2,THEMIS2
RPA2,RPA2
SMPDL3B,SMPDL3B
AL512288.1,AL512288.1
XKR8,XKR8
EYA3,EYA3
AL512288.2,AL512288.2
RN7SL559P,RN7SL559P
SPCS2P4,SPCS2P4
AL137792.2,AL137792.2
AL137792.1,AL137792.1
RNU6-176P,RNU6-176P
PTAFR,PTAFR
DNAJC8,DNAJC8
ATP5IF1,ATP5IF1
AL353622.1,AL353622.1
AL353622.2,AL353622.2
SESN2,SESN2
MED18,MED18
PHACTR4,PHACTR4
RF00019,RF00019
CR391992.1,CR391992.1
RNU6ATAC27P,RNU6ATAC27P
RCC1,RCC1
SNHG3,SNHG3
SNORA73A,SNORA73A
SNORA73B,SNORA73B
PRDX3P2,PRDX3P2
AL513497.1,AL513497.1
TRNAU1AP,TRNAU1AP
SNHG12,SNHG12
SNORD99,SNORD99
SNORA61,SNORA61
SNORA44,SNORA44
SNORA16A,SNORA16A
SNORA16A,SNORA16A
TAF12,TAF12
RAB42,RAB42
LINC01715,LINC01715
AL360012.1,AL360012.1
RNU11,RNU11
GMEB1,GMEB1
RF00422,RF00422
YTHDF2,YTHDF2
OPRD1,OPRD1
AL009181.1,AL009181.1
RF00019,RF00019
EPB41,EPB41
AL138785.1,AL138785.1
RF00019,RF00019
RF00017,RF00017
TMEM200B,TMEM200B
AL357500.1,AL357500.1
SRSF4,SRSF4
RF02271,RF02271
MECR,MECR
AL590729.1,AL590729.1
PTPRU,PTPRU
LINC01756,LINC01756
AL671862.1,AL671862.1
AC092265.1,AC092265.1
AL645944.2,AL645944.2
AL645944.1,AL645944.1
LINC01648,LINC01648
AL137076.1,AL137076.1
AL021921.1,AL021921.1
AL161638.2,AL161638.2
AL161638.1,AL161638.1
MATN1,MATN1
MATN1-AS1,MATN1-AS1
LAPTM5,LAPTM5
MIR4420,MIR4420
AL137027.1,AL137027.1
LINC01778,LINC01778
RN7SKP91,RN7SKP91
AL445235.1,AL445235.1
SDC3,SDC3
RN7SL371P,RN7SL371P
PUM1,PUM1
AL356320.2,AL356320.2
AL356320.1,AL356320.1
SELENOWP1,SELENOWP1
AC114495.1,AC114495.1
NKAIN1,NKAIN1
SNRNP40,SNRNP40
AC114495.2,AC114495.2
ZCCHC17,ZCCHC17
AL451070.1,AL451070.1
FABP3,FABP3
SERINC2,SERINC2
AC209007.1,AC209007.1
RNU6-40P,RNU6-40P
LINC01225,LINC01225
RF00019,RF00019
LINC01226,LINC01226
AC114488.1,AC114488.1
TINAGL1,TINAGL1
HCRTR1,HCRTR1
PEF1,PEF1
AC114488.2,AC114488.2
AC114488.3,AC114488.3
COL16A1,COL16A1
ADGRB2,ADGRB2
MIR4254,MIR4254
AL354919.2,AL354919.2
SPOCD1,SPOCD1
AL354919.1,AL354919.1
AL136115.2,AL136115.2
PTP4A2,PTP4A2
AL136115.1,AL136115.1
AL136115.3,AL136115.3
KHDRBS1,KHDRBS1
AL445248.1,AL445248.1
TMEM39B,TMEM39B
MIR5585,MIR5585
RF00017,RF00017
